molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Label
mol_89,0,1,0,0,0,6,1,1,469.509,12.013,808.126,288.967,81.587,320.041,117.531,1449.479,1,7.5,0.0995685,0.0092807,0.7664675,51.058,14.2,24.154,11.966,4.942,-6.446,-5.702,-7.563,416.019,-0.037,934.049,-3.382,8.779,1.174,1,0.783,1,100,117.531,0,69.927,6,0,21,0,21,4,34,1,0,1
mol_90,1,0,0,0,0,6,1,-1,442.44,9.352,745.579,183.175,120.196,324.746,117.462,1316.661,2,7.2,0.0664198,0.013657,0.7792093,45.787,13.4,23.369,13.279,4.381,-6.673,-6.281,-6.653,717.932,-0.83,1521.418,-2.015,8.764,1.302,1,0.482,1,100,117.462,0,84.683,6,0,21,0,21,4,32,1,0.001,1
mol_91,1,0,0,0,0,6,1,-1,442.44,8.884,746.119,188.765,116.541,323.611,117.202,1320.853,2,7.2,0.0597517,0.0136471,0.7802968,45.944,13.403,23.318,13.247,4.431,-6.681,-6.281,-6.63,777.577,-0.787,1653.059,-1.951,8.767,1.311,1,0.494,1,100,117.202,0,84.585,6,0,21,0,21,4,32,1,0.001,1
mol_92,0,0,0,0,0,6,1,-1,442.44,7.107,733.552,181.759,120.156,313.975,117.661,1310.843,2,7.2,0.038536,0.0138809,0.7896506,45.452,13.226,22.9,13.176,4.342,-6.468,-6.281,-6.433,718.551,-0.794,1526.673,-2.052,8.83,1.353,1,0.475,1,100,117.661,0,84.918,6,0,21,0,21,4,32,1,0.001,1
mol_93,2,0,0,0,0,4,1,0,426.44,9.367,726.492,213.574,71.174,323.868,117.875,1288.759,1,5.5,0.0680844,0.0075706,0.7883432,45.947,12.516,20.935,10.196,5.397,-7.322,-6.683,-6.501,2093.891,-0.152,4863.897,-1.306,8.697,1.229,0,0.862,1,100,117.875,0,62.332,5,1,22,0,22,5,31,1,0.001,1
mol_94,1,0,0,0,0,4,1,0,413.401,9.001,708.819,190.942,80.058,319.785,118.034,1240.756,1,6.5,0.0652941,0.0091702,0.7878085,43.987,12.09,20.773,11.171,4.602,-6.624,-6.017,-6.491,1724.697,-0.248,3951.829,-1.484,8.648,1.41,3,0.524,1,100,118.034,0,70.774,6,0,21,0,21,4,30,1,0.003,1
mol_95,2,0,0,0,0,5,1,0,398.387,11.403,691.411,157.896,65.152,350.782,117.581,1205.643,1,4.5,0.1078573,0.0065084,0.792333,42.235,11.855,19.615,9.048,5.366,-6.911,-6.282,-6.565,2388.185,-0.141,5586.082,-1.004,8.794,1.284,0,0.799,1,100,117.581,0,59.17,5,1,20,4,16,3,29,1,0.005,1
mol_96,1,0,0,0,0,2,1,1,397.399,7.765,698.037,190.69,59.579,329.932,117.835,1221.8,0,5,0.049352,0,0.7918081,44.609,11.597,18.502,8.574,5.255,-7.015,-6.193,-6.474,2697.182,0.099,6391.675,-1.263,9.137,1.573,1,0.742,1,100,117.835,0,51.852,4,1,21,0,21,4,29,1,0.002,1
mol_97,2,0,0,0,0,3,1,1,412.414,4.419,716.546,197.244,61.276,339.99,118.036,1252.981,1,5,0.0155815,0.0069779,0.7844242,45.311,12.228,19.706,9.942,5.469,-7.5,-6.603,-6.642,2599.053,0.008,6156.252,-1.163,8.561,1.19,0,0.908,1,100,118.036,0,58.444,5,1,21,0,21,4,30,1,0.001,1
mol_98,0,0,0,0,0,5,0,0,323.409,5.936,618.764,110.878,83.683,423.486,0.716,1059.843,1,4.5,0.0332451,0.0072726,0.8124579,37.095,11.824,16.468,9.452,3.96,-5.101,-4.948,-6.586,1593.419,-0.581,825.978,-1.09,8.497,0.844,1,0.409,3,100,0,0,50.046,3,0,16,0,16,0,23,0,0.208,1
mol_108,0,0,0,0,0,7,0,-1,337.374,6.727,600.202,122.048,107.914,370.239,0,1071.21,2,5.95,0.0422412,0.0140196,0.8435628,35.757,11.994,18.439,11.662,3.095,-3.934,-4.757,-5.829,938.75,-0.869,462.04,-1.532,8.251,0.522,7,0.077,3,100,0,0,74.058,5,0,18,0,18,0,25,1,1.153,1
mol_109,0,0,0,0,0,7,0,-2,323.348,5.114,582.233,64.299,138.698,379.235,0,1028.476,3,5.95,0.0254337,0.0177003,0.8463136,34.133,12.101,19.259,13.354,2.477,-3.56,-4.423,-5.827,479.319,-1.149,223.431,-2.068,8.052,0.606,7,-0.072,3,89.426,0,0,87.689,5,0,18,0,18,0,24,1,0.762,1
mol_110,0,1,0,0,0,6,0,0,349.385,4.934,619.378,107.945,137.568,373.865,0,1106.487,2,6.95,0.022004,0.0158688,0.8352949,37.845,12.55,19.6,13.14,2.192,-2.902,-3.628,-6.706,122.531,-0.714,56.589,-4.224,9.103,0.458,7,0.035,2,77.156,0,0,83.401,5,0,21,0,21,2,26,1,0.026,1
mol_111,2,0,0,0,0,3,0,2,313.706,3.413,539.951,41.873,41.182,269.661,187.235,909.592,0,1.5,0.0128095,0,0.8408296,30.897,8.534,11.544,4.014,5.301,-5.893,-5.758,-5.394,4030.656,0.454,10000,-1.041,8.449,0.834,4,0.73,3,100,115.295,0,35.662,2,1,12,0,12,0,21,1,0.029,1
